serial_no,procedure_name,non_nabh_rate,nabh_rate
644,Myomectomy -laparoscopic,6325,7274
645,Vaginoplasty,14950,17193
646,Vulvectomy -Simple,9200,10580
647,Vulvectomy-Radical,9200,10580
648,Rectovaginal Fistula (RVF) Repair,18975,21821
649,Manchester Operation,15000,17250
650,Shirodkar’s sling Operation or other sling operations for prolapse uterus,3450,3968
651,Laparoscopic sling operations for prolapse uterus,28000,32200
652,Diagnostic Curettage,2484,2857
653,Cervical Biopsy,1800,2070
654,Polypectomy,1518,1746
655,Other-Minor Operation Endometrial,2300,2645
656,Excision Vaginal Cyst/Bartholin Cyst,3450,3968
657,Excision Vaginal Septum,4600,5290
658,Laparoscopy -Diagnostic with chromopertubation and or adhesiolysis and drilling,4025,4629
659,Laparoscopy Sterilization,3450,3968
660,Laparoscopically Assisted Vaginal Hysterectomy (LAVH),25243,29029
661,Balloon Tamponade for Post Partum Haemorrhage (PPH),2800,3220
665,Trachelectomy of cervix for early CA cervix,5500,6325
666,Hysteroscopic cannulation,2875,3306
667,Laparotomy recannalization of Fallopian tubes-(Tubuloplasty),22425,25789
668,Laparoscopic recannalization of Fallopian tubes-(Tubuloplasty),19500,22425
669,Colposcopy,958,1102
670,Inversion of Uterus – Vaginal Reposition,2500,2875
671,Inversion of Uterus – Abdominal Reposition,2500,2875
672,Laparoscopic Vesicovaginal Fistula (VVF) Repair,28000,32200
673,Abdominal Vesicovaginal Fistula (VVF) Repair,28000,32200
674,Vaginal Vesicovaginal Fistula (VVF) Repair,28000,32200
675,Interventional Ultrasonography- Chorionic villus sampling (CVS),880,1012
676,Amniocentesis,880,1012
677,Karyotyping,800,920
678,Thermal balloon ablation.,11500,13225
679,Ultrasonographic myolysis,10293,11837
680,Vaginal Myomectomy,10000,11500
681,Intra Uterine Inseminition,920,1058
682,Intracytoplasmic sperm injection (ICSI),11500,13225
683,Laparotomy abdominal sacro-colpopexy,15000,17250
684,Vaginal Colpopexy,22000,25300
685,Laparoscopic abdominal sacro-colpopexy,20000,23000
686,Laparotomy pelvic Lymphadenectomy,1200,1380
687,Laparoscopic pelvic Lymphadenectomy,3500,4025
688,Endometrial aspiration cytology/biopsy,570,656
689,USG Transvaginal sonography (TVS for Follicular monitoring /aspiration),460,529
690,laparoscopic treatment for stress incontinence,15000,17250
691,Transvaginal tapes for Stress incontinence,15000,17250
692,trans-obturator tapes for Stress incontinence,12000,13800
693,Interventional radiographic arterial embolization,18000,20700
694,Diagnostic cystoscopy,2875,3306
695,Staging laparotomy surgery for Carcinoma Ovary,6325,7274
696,Internal Iliac ligation,3393,3902
697,stepwise devascularisation,9200,10580
698,Assisted breech delivery,10925,12564
699,Intra-uterine fetal blood transfusion,21275,24466
700,Hysteroscopy Transcervical Resection of Endometrium (TCRE),8500,9775
701,Hysteroscopy Removal of Intra-Uterine Contraceptive Device (IUCD),7500,8625
702,Hysteroscopy Removal of Septum,11000,12650
703,Hysteroscopy Diagnostic,7500,8625
704,Radical Hysterectomy for Cancer cervix with pelvic lymphadenectomy,8500,9775
705,Radical Hysterectomy for Cancer endometrium extending to cervix with pelvic and para aortic lymphadenectomy,8500,9775
710,Fetal Doppler/Umblical Doppler/Uterine Vessel Doppler,850,978
711,Medical Termination of Pregnancy (MTP)- 1st Trimester,3000,3450
712,Medical Termination of Pregnancy (MTP) - 2nd Trimester,4370,5026
713,Quadruple test,2000,2300
714,Biophysical score / Biophysical profile test (BPP test),600,690
715,Other Major Surgery-Obstetrics and Gynaecology,28000,32200
716,Other Minor Surgery-Obstetrics and Gynaecology,5000,5750
717,Partial Nephrectomy -open,16215,18647
718,Partial Nephrectomy-Laparoscopic/endoscopic,14490,16664
719,Nephrolithomy -open,12000,13800
720,Nephrolithomy -Laparoscopic/endoscopic,14000,16100
721,Pyelolithotomy-open,13000,14950
722,Pyelolithotomy -Laparoscopic/endoscopic,10580,12167
723,Operations for Hydronephrosis -pyeloplasty open,18400,21160
724,Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,19000,21850
725,Operations for Hydronephrosis Endopyelotomy antegrade,20000,23000
726,Operations for Hydronephrosis Endoplyelotomy retrograde,20000,23000
727,Operations for Hydronephrosis ureterocalicostomy,18000,20700
728,Operations for Hydronephrosis-Ileal ureter,18000,20700
729,Open Drainage of Perinephric Abscess,8000,9200
730,Percutaneous Drainage of Perinephric Abscess -Ultrasound guided,5750,6613
731,Cavernostomy,9775,11500
732,Operations for Cyst of the Kidney -open,11960,13754
733,Operations for Cyst of the Kidney Lap/endoscopic,14030,16135
734,Ureterolithotomy -open,13248,15235
735,Ureterolithotomy-Lap/Endoscopic,10000,11500
736,Nephroureterectomy open,16100,18515
737,Nephroureterectomy -Lap/Endoscopic,16100,18515
738,Operations for Ureter for -Double Ureters,19000,21850
739,Operations for Ureter -for Ectopia of Single Ureter,18000,20700
740,Operations for Vesicoureteric Reflux (VUR) -Open,18000,20700
743,Ureterostomy - Cutaneous,12000,13800
744,Uretero-Colic anastomosis,16000,18400
745,Formation of an Ileal Conduit,17250,19838
746,Ureteric Catheterisation,8278,10950
747,Biopsy of Bladder (Cystoscopic),2300,2645
748,Cysto-Litholapaxy,10925,12564
749,Operations for Injuries of the Bladder,10000,11500
750,Suprapubic Drainage (Cystostomy/vesicostomy),6000,6900
751,Simple Cystectomy,17250,19838
752,Diverticulectomy -open,16000,18400
753,Diverticulectomy- Lap/Endoscopic,18400,21160
754,Diverticulectomy -Endoscopic incision of neck,1725,1984
755,Augmentation Cystoplasty,6670,7671
756,Operations for Exstrophy of the Bladder- Single stage repair,22300,25645
757,Operations for Exstrophy of the Bladder- Multistage repair,20815,23937
758,Operations for Exstrophy of the Bladder- simple cystectomy with urinary diversion,22500,25875
759,Repair of Ureterocoel -Open,13800,15870
760,Repair of Ureterocoel -Lap/Endoscopic,14375,16531
761,Repair of Ureterocoel -Endoscopic incision,13000,14950
762,Open Suprapubic Prostatectomy,20700,23805
763,Open Retropubic Prostatectomy,20125,23144
764,Transurethral Resection of Prostate (TURP),18630,21425
765,Urethroscopy/ Cystopanendoscopy,4600,5290
766,Internal urethrotomy -optical,5750,6613
767,Internal urethrotomy -Core through urethroplasty,11040,12696
768,Urethral Reconstruction -End to end ansatamosis,3450,3968
769,Urethral Reconstruction - substitution urethroplasty(Transpubic urethroplasty),19550,22483
770,Abdomino Perineal urethroplasty,14000,16100
771,Posterior Urethral Valve fulguration.,11270,12961
772,Operations for Incontinence of Urine - Male -Open,17250,19838
773,Operations for Incontinence of Urine - Male -Sling,18400,21160
774,Operations for Incontinence of Urine - Male-Bulking agent,19435,22350
775,Operations for Incontinence of Urine - Female -Open 17250,,19838
776,Operations for Incontinence of Urine - Female-Sling  18400,,21160
777,Operations for Incontinence of Urine - Female-Bulking agent,19435,22350
778,Reduction of Paraphimosis,1725,1984
779,Circumcision,3000,3450
780,Meatotomy,2346,2698
781,Meatoplasty,3220,3703
782,Operations for Hypospadias + Chordee Correction,9200,10580
783,Operations for Hypospadias - Second Stage,15000,17250
784,Operations for Hypospadias - One Stage Repair,9200,10580
785,Operations for Crippled Hypospadias,11500,13225
790,Orchidectomy-Simple,9775,11241
791,Orchidectomy -Radical,12075,13886
792,Post Radical Orchidectomy retroperitoneal lymph node dissection,14000,16100
793,Epididymectomy,15938,18750
794,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma- Open,25300,29095
795,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma -Lap/Endoscopic,14375,16531
796,Operations for Hydrocele - Unilateral,5865,6745
797,Operations for Hydrocele - Bilateral,8556,9839
798,Operation for Torsion of Testis,11500,13225
799,Micro-surgical Vasovasostomy /Vaso epidedymal ansatamosis,11040,12696
800,Operations for Varicocele Unilateral Microsurgical,7705,8861
801,Operations for Varicocele Palomo’s Unilateral -Laparoscopic,9200,10580
802,Operations for Varicocele Bilateral --Microsurgical,12650,14548
803,Operations for Varicocele Palomo’s Bilateral -Laparoscopic,14950,17193
804,Block Dissection of ilio-inguinal Nodes - One Side For Carcinoma Penis),6325,7274
805,Block Dissection of ilio-inguinal Nodes -Both Sides (For Carcinoma Penis),23000,26450
806,Excision of Filarial Scrotum,11500,13225
807,Kidney Transplantation (related),200000,230000
808,Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,300000,345000
809,ABO incompatible Transplantation,490000,563500
810,Swap Transplantation,388000,446200
811,Kidney Transplant Graft Nephrectomy,59500,70000
812,Donor Nephrectomy (open),28750,33063
813,Donor Nephrectomy (Laparoscopic),46000,52900
814,Cadaver Transplantation,83300,95795
815,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Unilateral,28000,32200
816,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Bilateral,85000,97750
817,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Unilateral,85000,97750
818,Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated) Bilateral,85000,97750
819,Post-Transplant Collection drainage for Lymphocele (open),6800,8000
820,Post-Transplant Collection drainage for Lymphocele (percutaneous),6800,8000
821,Post-Transplant Collection drainage for Lymphocele (Laparoscopic),7650,9000
822,Arteriovenous Fistula for Haemodialysis,2300,2645
823,Arteriovenous Shunt for Haemodialysis,3500,4025
827,Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,1500,1725
828,Double Lumen Femoral Catheterization for Haemodialysis,1850,2128
829,Permcath Insertion,2800,3220
830,Arterio venous Prosthetic Graft,1850,2128
831,Single lumen Jugular Catheterization,1500,1725
832,Single lumen Subclavian Catheterization,1700,2000
832,Single lumen Subclavian Catheterization,1700,2000
833,Plasma Exchange/ Plasmapheresis,1725,1984
834,Continuous Ambulatory Peritoneal Dialysis (CAPD)catheter insertion- Open method,3500,4025
835,Continuous Ambulatory Peritoneal Dialysis (CAPD)catheter insertion- Schlendinger/ Seldinger method,3500,4025
836,Sustained low efficiency haemodialysis /hemodialysis,1250,1438
837,Continuous Veno venous/Arteriovenous Haemofilteration /Hemofilteration,2250,2588
838,Haemodialysis / Hemodialysis for Sero negative cases,1400,1610
839,Haemodialysis / Hemodialysis for Sero Positive cases,1650,1898
840,Acute Peritoneal Dialysis,1450,1668
841,Fistulogram for Arteriovenous Fistula,2500,2875
842,Ultrasound guided kidney Biopsy,850,978
843,Fistula stenosis dilation,3000,3450
844,Slow continuous Ultrafilteration,2500,2875
845,Percutaneous Nephrolithotomy (PCNL) - Unilateral,20000,23000
846,Percutaneous Nephrolithotomy (PCNL) - Bilateral,25000,28750
847,Endoscopic Bulking agent Inject,4500,5175
848,Testicular Biopsy,1955,2248
849,Radical Nephrectomy -Open,17250,19838
850,Radical Nephrectomy -Lap/Endoscopic,20700,23805
851,Radical Nephrectomy plus IV thrombus,23000,26450
852,Radical Nephrectomy plus IV thrombus plus cardiac bypass,23000,26450
853,Vesicovaginal Fistula (VVF) Repair (Open),16000,18400
854,Vesicovaginal Fistula (VVF) Repair (Laparoscopic),22000,25300
855,Radical Cystectomy -Ileal conduit,17000,20000
856,Radical Cystectomy - continent diversion.,15000,17250
857,Radical Cystectomy – Neo bladder,18500,21275
858,Nephrectomy Simple -Open,10074,11585
859,Nephrectomy Simple-lap/Endoscopic,12593,14482
860,Nephrostomy -Open,10000,11500
861,Nephrostomy -Lap/Endoscopic,10704,12593
862,Ureteric Reimplant forMegaureter/ Vesicoureteric reflux/ureterocele (open),10494,12068
863,Ureteric Reimplant for Megaureter / Vesicoureteric reflux/ ureterocele (Laparoscopic),10494,12068
864,Partial Cystectomy,13800,15870
865,Transurethral Resection of Prostate (TURP) & Transurethral Resection of Bladder Tumour (TURBT),17250,19838
869,Orchidopexy - Unilateral- Lap/Endoscopic,12334,14184
870,Orchidopexy - Bilateral -Open,12282,14124
871,Orchidopexy - Bilateral -Lap/Endoscopic,14500,16675
872,Cystolithotomy -Suprapubic,9775,11241
873,Endoscopic Removal of Stone in Bladder,3450,3968
874,Resection Bladder Neck Endoscopic / Bladder neckincision / transurethral incision on prostrate,10925,12564
875,Ureteroscopic Surgery,10350,11903
876,Urethroplasty 1st Stage,10925,12564
877,Scrotal Exploration,8556,9839
878,Perineal Urethrostomy,4715,5422
879,Dilatation of Stricture Urethra under G.A.,2000,2300
880,Dilatation of Stricture Urethra under LA,1725,1984
881,Laparoscopic Nephrectomy (Select CGHS rate Code 508 for approved rate),See code 508,See code 508
882,Laparoscopic partial Nephrectomy,10000,11500
883,Laparoscopic pyelolithotomy,12650,14548
884,Laparoscopic Pyeloplasty,9775,11241
885,Laparoscopic surgery for Renal cyst,9775,11241
886,Laparoscopic ureterolithotomy,11500,13225
887,Laparoscopic Nephroureterectomy,13225,15209
888,Extracorporeal Shock Wave Lithotripsy (ESWL),19550,22483
889,Uroflow Study (Uroflometry),450,518
890,Urodynamic Study (Cystometry),480,552
891,Cystoscopy with Retrograde Catheter -Unilateral /RGP,2803,3223
892,Cystoscopy with Retrograde Catheter - Bilateral /RGP,4675,5500
893,Cystoscopy with Bladder Biopsy (Cold Cup Biopsy)  3381,,3888
894,Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),414,476
895,Radical prostatectomy-Open,17825,20499
896,Radical prostatectomy-Laparoscopic,20125,23144
897,Radical prostatectomy- Robotic / Robotic Partial Nephrectomy,20125,23144
898,Holmium YAG Prostate Surgery,15000,17250
899,Holmium YAG Optical Internal Urethrotomy (OIU),4600,5290
900,Holmium YAG Core through internal Urethrotomy,17250,19838
901,Holmium YAG Stone Lithotripsy,10200,12000
902,Green Light laser for prostate,17250,19838
903,Retrograde Intrarenal Surgery (RIRS)/ Flexible Ureteroscopy,6800,7820
904,"Microscopic Vaso-Epididymal Anastomosis (VEA)/Vasovasostomy (reversal of vasectomy for Infertility,treatment) (Select CGHS rate Code 799 for approved rate)",See code 799,See code 799
905,Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder) -excluding cost of drug,6800,7820
906,Peyronie’s disease – Plaque excision with grafting (PCN),3400,4000
911,Other Major Surgery-Nephrology and Urology,15000,17250
912,Other Minor Surgery-Nephrology and Urology,6800,7820
913,Craniotomy and Evacuation of Haematoma -Subdural ,50715,58322
914,Craniotomy and Evacuation of Haematoma - Extradural,50000,57500
915,Evacuation /Excision of Brain Abscess by craniotomy  40000,,46000
916,Excision of Lobe (Frontal Temporal Cerebellum etc.)  41000,,47150
917,Excision of Brain Tumours -Supratentorial,39123,44991
918,Excision of Brain Tumours -Infratentorial,45000,51750
919,Surgery of spinal Cord Tumours,45000,51750
920,Ventriculoatrial /Ventriculoperitoneal Shunt (Select CGHS rate Code 938 for approved rate),See code 938,See code 938
921,Twist Drill Craniostomy,4250,5000
922,Subdural Tapping,2456,2824
923,Ventricular Tapping,2967,3412
924,Abscess Tapping,2875,3306
925,Placement of Intracranial pressure (ICP) Monitor,2875,3306
926,Skull Traction Application,2300,2645
927,Lumbar Pressure Monitoring,4250,5000
928,Vascular Malformations,22000,25300
929,Meningo Encephalocoele excision and repair,15000,17250
930,Meningomyelocoele Repair,24995,28744
931,CSF Rhinorrhoea Repair,28750,33063
932,Cranioplasty,24150,27773
933,Anterior Cervical Discectomy,16600,19090
934,Brachial Plexus Exploration and neurotization,15525,17854
935,Median Nerve Decompression,14000,16100
936,Peripheral Nerve Surgery – Major,17250,19838
937,Peripheral Nerve Surgery Minor,8280,9522
938,Ventriculoatrial /Ventriculoperitoneal Shunt,11615,13357
939,Nerve Biopsy,6900,7935
940,Brain Biopsy,5808,6679
941,Anterior Cervical Spine Surgery with fusion,32200,37030
942,Anterio Lateral Decompression of spine,28750,33063
942,Anterio Lateral Decompression of spine,28750,33063
943,Brain Mapping,837,963
944,Cervical or Dorsal or Lumbar Laminectomy,23000,26450
945,Combined Trans-oral Surgery & Craniovertebral (CV) Junction Fusion,34500,39675
946,Craniovertebral Junction (CVJ) Fusion procedures,30000,34500
947,Depressed Fracture Elevation,25000,28750
948,Lumbar Discectomy,27600,31740
949,Endarterectomy (Carotid),20000,23000
950,Radiofrequency (RF) Lesion for Trigeminal Neuralgia,11500,13225
951,Spasticity Surgery -,39675,45626
952,Spinal Fusion Procedure,30000,34500
953,Spinal Intra Medullary Tumours,34500,39675
958,Trans Oral Surgery,30000,34500
959,Implantation of Deep Brain Stimulation (DBS) -One electrode,34500,39675
960,Implantation of Deep Brain Stimulation (DBS) -two electrodes,40250,46288
961,Endoscopic aqueductoplasty,15000,17250
962,Facial nerve reconstruction,30000,34500
963,Carotid stenting,42263,48602
964,Cervical disc arthroplasty,27600,31740
965,Lumbar disc arthroplasty,13800,15870
966,Corpus callostomy for Epilepsy,35000,40250
967,Hemispherotomy for Epilepsy,32200,37030
968,Endoscopic CSF rhinorrhoea repair,30000,34500
969,Burr hole evacuation of chronic subdural haematoma  24150,,27773
970,Epilepsy surgery other than at S No. 966 and 967,36225,41659
971,Radiofrequency (RF) lesion for facet joint pain syndrome,17250,19838
972,Cervical laminoplasty,32000,36800
973,Lateral mass C1-C2 screw fixation,23000,26450
974,Microsurgical decompression for Trigeminal nerve,38000,43700
975,Microsurgical decompression for hemifacial spasm,4646,5343
976,Extracranial-Intracranial Bypass Procedures (EC-IC) bypass procedures,32000,36800
977,Image guided craniotomy,28980,33327
978,Baclofen pump implantation,39000,44850
979,Programmable Ventriculo-Peritoneal (VP) shunt,25000,28750
980,Endoscopic sympathectomy,17107,19673
981,Lumbar puncture,207,238
982,External ventricular drainage (EVD),4600,5290
983,Endoscopic 3rd ventriculostomy,40000,46000
984,Endoscopic cranial surgery/Biopsy/aspiration,31536,36266
985,"Endoscopic discectomy (Lumbar, Cervical)",35621,40964
986,Aneurysm coiling (Endovascular),34400,39560
987,Surgery for skull fractures,40000,46000
988,Carpel Tunnel decompression,15000,17250
989,Clipping of intracranial aneurysm,24150,27773
990,Surgery for intracranial Arteriovenous malformations(AVM),40000,46000
991,Foramen magnum decompression for Chiari Malformation,93750,107813
992,Dorsal column stimulation for backache in failed back syndrome,28750,33063
993,Surgery for recurrent disc prolapse/epidural fibrosis,32200,37030
994,Surgery for brain stem tumours,43988,50586
995,Decompressive craniotomy for hemispherical acute subdural haematoma/ brain swelling/large infarct,40000,46000
996,Intra-arterial thrombolysis with Tissue Plasminogen Activator (TPA) (for ischemic stroke ),4600,5290
997,Stereotactic aspiration of intracerebral haematoma knife / Gamma knife -Two or more sessions,32545,37427
1001,Chemotheraphy wafers for malignant brain tumors,14450,16618
1002,Battery Placement for Deep Brain Stimulation (DBS) 22000,,25300
1003,Baclofen pump implantation for spasticity,17330,19930
1004,Peripheral Nerve tumor surgery,24000,27600
1005,Surgery Intra Cranial Meningioma,20000,23000
1006,Surgery for Intracranial Schwannoma,35000,40250
1007,Surgery for Gliomas,45000,51750
1008,Surgery for Orbital tumors,40000,46000
1009,Surgery for Cranial (Skull) tumors,38500,44275
1010,Surgery for Scalp Arteriovenous Malformations(AVMs),25000,28750
1011,Kyphoplasty,40000,46000
1012,Balloon Kyphoplasty,40000,46000
1013,"Lesioning procedures for Parkinson’s disease,Dystonia etc.",35000,40250
1014,Other Major Surgery-Neuro-surgery,42500,50000
1015,Other Minor Surgery-Neuro-surgery,17000,20000
1016,Excision of thyroglossal Duct/Cyst,16000,18400
1017,Diaphragmatic Hernia Repair (Thoracic orAbdominal Approach),17250,19838
1018,Tracheo Oesophageal Fistula (Correction Surgery),23000,26450
1019,Colon Replacement of Oesophagus,23000,26450
1020,Omphalo Mesenteric Cyst Excision,17250,19838
1021,"Omphalo Mesenteric Duct- Excision",15525,17854
1022,Meckels Diverticulectomy,3347,3849
1023,Omphalocele 1st Stage (Hernia Repair),15525,17854
1024,Omphalocele 2nd Stge (Hernia Repair),17250,19838
1025,Gastroschisis Repair,16100,18515
1026,Inguinal Herniotomy,12558,14442
1027,Congenital Hydrocele,12000,13800
1028,Hydrocele of Cord,12000,13800
1029,Torsion Testis Operation,15000,17250
1030,Congenital Pyloric Stenosis- operation,13938,16029
1031,Duodenal Atresia Operation,14000,16100
1032,Pancreatic Ring Operation,22425,25789
1033,Meconium Ileus Operation,14500,16675
1034,Malrotation of Intestines Operation,13000,14950
1035,Rectal Biopsy (Megacolon),9736,11196
1036,Colostomy Transverse,15000,17250
1037,Colostomy Left Iliac,15000,17250
1038,Abdominal Perineal Pull Through (Hirschsprung's Disease),19000,21850
1039,Imperforate Anus Low Anomaly -Cut Back Operation,10235,11770
1043,Intussusception Operation,20700,23805
1044,Choledochoduodenostomy for Atresia of Extra Hepatic Billiary Duct,15000,17250
1045,Operation of Choledochal Cyst,16000,18400
1046,Nephrectomy for -Pyonephrosis,17000,19550
1047,Nephrectomy for - Hydronephrosis,15000,17250
1048,Nephrectomy for -Wilms Tumour,15000,17250
1049,Paraortic Lymphadenectomy with Nephrectomy for Wilms Tumour,20000,23000
1050,Sacro-Coccygeal Teratoma Excision,14000,16100
1051,Neuroblastoma Debulking,16000,18400
1052,Neuroblastoma Total Excision,20700,23805
1053,Rhabdomyosarcoma wide Excision,15000,17250
1054,Congenital Atresia & Stenosis of Small Intestine,19000,21850
1055,Meconium ileus (Select CGHS rate Code 1033 for approved rate,See code 1033,See code 1033
1056,Malrotation & Volvulus of the Midgut,15000,17250
1056,Malrotation & Volvulus of the Midgut,15000,17250
1057,Excision of Meckel’s Deverticulum,12000,13800
1058,Other Major Surgery-Paediatric Surgery,27000,31050
1059,Other Minor Surgery-Paediatric Surgery,11050,13000
1060,Primary Suturing of Wound,300,345
1061,Injection of Keloids - Ganglion,1099,1264
1062,Injection of Keloids - Haemangioma,1150,1323
1063,Free Grafts - Wolfe Grafts,1725,1984
1064,Free Grafts - Thiersch- Small Area 5%,7475,8596
1065,Free Grafts - Large Area 10%,8000,9200
1066,Free Grafts - Very Large Area 20% and above.,10350,11903
1067,Skin Flaps - Rotation Flaps,8970,10316
1068,Skin Flaps - Advancement Flaps,12500,14375
1069,Skin Flaps - Direct- cross Leg Flaps- Cross Arm Flap ,12500,14375
1070,Skin Flaps - Cross Finger,12500,14375
1071,Skin Flaps - Abdominal,9350,11000
1072,Skin Flaps - Thoracic,9350,11000
1073,Skin Flaps - Arm Etc.,11000,12650
1074,Subcutaneous Pedicle Flaps Raising,6900,7935
1075,Subcutaneous Pedicle Flaps Delay,5950,7000
1076,Subcutaneous Pedicle Flaps Transfer,5950,7000
1077,Cartilage Grafting,8625,9919
1078,Reduction of Facial Fractures of Nose,1380,1587
1079,Reduction of Facial Fractures of Maxilla,8000,9200
1080,Reduction of Fractures of Mandible & Maxilla - Eyelet Splinting,7475,8596
1081,Reduction of Fractures of Mandible & Maxilla - Cast Metal Splints,6900,7935
1082,Reduction of Fractures of Mandible & Maxilla - Gunning Splints,7500,8625
1083,Internal Wire Fixation of Mandible & Maxilla,11500,13225
1084,Cleft Lip - repair.,11500,13225
1089,Reconstruction of Eyelid Defects - Minor,6325,7274
1090,Reconstruction of Eyelid Defects - Major,8500,9775
1091,Plastic Surgery of Different Regions of the Ear Minor-,8050,9258
1092,Plastic Surgery of Different Regions of the Ear Major-,10350,11903
1093,Plastic Surgery of the Nose - Minor,8050,9258
1094,Plastic Surgery of the Nose - Major,9500,10925
1095,Plastic Surgery for Facial Paralysis (Support with Reanimation),16100,18515
1096,Pendulous Breast - Mammoplasty,13000,14950
1097,Underdeveloped Breast Mammoplasty,12000,13800
1098,After Mastectomy (Reconstruction) Mammoplasty,12000,13800
1099,Syndactyly Repair,12750,15000
1100,Dermabrasion Face,13225,15209
1101,upto 30% Burns 1st Dressing,152,175
1102,upto 30% Burns Subsequent Dressing,124,143
1103,30% to 50% Burns 1st Dressing,193,222
1104,30% to 50% Burns Subsequent Dressing,152,175
1105,Extensive Burn -above 50% Frist Dressing,276,317
1106,Extensive Burn -above 50% Subsequent dressing,193,222
1107,Plaster Work,255,300
1108,Fingers (post slab),259,298
1109,Fingers full plaster,259,298
1110,Colles Fracture - Below elbow,978,1125
1111,Colles Fracture - Full plaster,994,1143
1112,Colles fracture Ant. Or post. slab,400,460
1113,Above elbow full plaster,173,199
1114,Above Knee post-slab,575,288
1115,Below Knee full plaster,173,199
1116,Below Knee post-slab,718,826
1117,Tube Plaster (or plaster cylinder),800,920
1118,Above knee full plaster,1265,1455
1119,Above knee full slab,1158,1332
1120,Minerva Jacket,2415,2777
1121,Plaster Jacket,2185,2513
1122,Shoulder spica,1955,2248
1123,Single Hip spica,2243,2579
1124,Double Hip spica,2760,3174
1125,Strapping of Finger,179,206
1126,Strapping of Toes,180,207
1127,Strapping of Wrist,230,265
1128,Strapping of Elbow,262,301
1129,Strapping of Knee,345,397
1130,Strapping of Ankle,345,397
1131,Strapping of Chest,460,529
1132,Strapping of Shoulder,518,596
1133,Figure of 8 bandage,518,596
1134,Collar and cuff sling,255,300
1139,Application of Skeletal Tractions,949,1091
1140,Bandage & Strappings for Fractures,552,635
1141,Aspiration & Intra Articular Injections,575,661
1142,Application of POP Spices & Jackets,2473,2844
1143,Close Reduction of Fractures of Limb & POP,2600,2990
1144,Reduction of Compound Fractures,2760,3174
1145,Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,5175,5951
1146,Open Reduction of fracture of Long Bones of Upper /Lower Limb -Nailing & External Fixation,8050,9258
1147,Open Reduction of fracture of Long Bones of Upper /Lower Limb -AO Procedures,9660,11109
1148,Tension Band Wirings,5658,6507
1149,Bone Grafting,6601,7591
1150,Excision of Bone Tumours,6900,7935
1151,Excision or other Operations for Scaphoid Fractures,7188,8266
1152,Sequestrectomy & Saucerisation,6900,7935
1153,Sequestrectomy & Saucerizations -Arthrotomy,9971,11467
1154,Multiple Pinning Fracture Neck Femur,11500,13225
1155,Plate Fixations for Fracture Neck Femur,13500,15525
1156,AO Compression Procedures for Fracture Neck Femur,16560,19044
1157,Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,19500,22425
1158,Close Reduction of Dislocations,3174,3650
1159,Open Reduction of Dislocations,3439,3955
1160,Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,13500,15525
1161,Neurolysis/Nerve repair,13800,15870
1162,Nerve Repair with Grafting,16675,19176
1163,Tendon with Transplant or Graft,10350,11903
1164,Tendon Lengthening/Tendon repair,8050,9258
1165,Tendon Transfer,3105,3571
1166,Laminectomy Excision Disc and Tumours,4830,5555
1167,Split Osteotomy and Internal Fixations,24150,27773
1168,Anterolateral decompression for tuberculosis/ Costo-Transversectomy,3450,3968
1169,Anterolateral Decompression and Spine Fusion,19350,22253
1170,Corrective Osteotomy & Internal Fixation- short bones,13800,15870
1171,Corrective Osteotomy & Internal Fixation- long bones,11040,12696
1172,Arthrodesis of - Minor Joints,10350,11903
1173,Arthrodesis of - Major Joints,10000,11500
1174,Soft Tissue Operations for Congenital Talipes Equinovarus (CTEV),8050,9258
1175,Soft Tissue Operations for Polio,6900,7935
1176,Hemiarthroplasty- Hip,20000,23000
1177,Hemiarthroplasty- Shoulder,20000,23000
1178,Operations for Brachial Plexus & Cervical Rib,24150,27773
1179,Amputations - Below Knee,6900,7935
1184,Amputations -Hind Quarter and Hemipelvectomy,18400,21160
1185,Disarticulations - Major joint,20700,23805
1186,Disarticulations - Minor joint,12650,14548
1187,Arthrography,9200,10580
1188,Arthroscopy - Diagnostic,8568,9853
1189,Arthroscopy-therapeutic: without implant,10000,11500
1190,Arthroscopy-therapeutic: with implant,17250,19838
1191,Soft Tissue Operation on Joints -Small,6900,7935
1192,Soft Tissue Operation on Joints -Large,13500,15525
1193,Myocutaneous and Fasciocutaneous Flap Proceduresfor Limbs,18630,21425
1194,Removal of Wires & Screw,1760,2024
1195,Removal of Plates,4140,4761
1196,Total Hip Replacement (THR),79000,90850
1197,Total Ankle Joint Replacement (TAR),95400,109710
1198,Total Knee Joint Replacement (TKR),110000,126500
